Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2020-02-10;3991;02241-1;Швеллер 18 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;Центральный склад;2020-02-19;Швеллер 18 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;9975.6;9975.6;0.0;2020-02-10
2020-02-11;3294;0205-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.264;0.0;0.264;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;194.435;194.171;0.264;2020-02-11
2020-02-11;3299;0205-1;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;3.888;0.0;3.888;Центральный склад;2020-02-19;Лист 4 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;8615.363;8611.474999999999;3.888;2020-02-11
2020-02-11;3305;0205-1;Шайба 20 Гл ГОСТ 11371-78;0.0;0.051;0.0;0.051;Центральный склад;2020-02-19;Шайба 20 Гл ГОСТ 11371-78;69.421;69.37;0.051;2020-02-11
2020-02-11;3306;0206-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.066;0.0;0.066;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;194.171;194.105;0.066;2020-02-11
2020-02-11;3311;0206-1;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;3.885;0.0;3.885;Центральный склад;2020-02-19;Лист 4 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;8611.474999999999;8607.589999999998;3.885;2020-02-11
2020-02-11;3316;0206-1;Шайба 20 Гл ГОСТ 11371-78;0.0;0.051;0.0;0.051;Центральный склад;2020-02-19;Шайба 20 Гл ГОСТ 11371-78;69.37;69.319;0.051;2020-02-11
2020-02-11;3221;0208-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.022;0.0;0.022;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;194.105;194.083;0.022;2020-02-11
2020-02-11;3222;0208-1;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;31.381;0.0;31.381;Центральный склад;2020-02-19;Лист 16 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;2749.124;2717.743;31.381;2020-02-11
2020-02-11;3224;0208-1;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;2.88;0.0;2.88;Центральный склад;2020-02-19;Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;534.895;532.015;2.88;2020-02-11
