Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
1;921922;1;2020-01-22;00000011269;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;126.924;128.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
2;921922;1;2020-01-22;00000011280;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;287.781;295.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
3;921922;1;2020-01-22;00000014979;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;32.508;33.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
4;921922;1;2020-01-22;00000015180;Лист 30 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;288.936;0.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
5;921922;1;2020-01-22;00000011270;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;77.502;80.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
6;921922;1;2020-01-22;00000011268;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;93.147;0.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
7;921922;1;2020-01-22;00000011275;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;692.649;0.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
8;921922;1;2020-01-22;00000011278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;369.954;370.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
9;921922;1;2020-01-22;00000011281;Уголок 100х100х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;315.255;254.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
10;921922;1;2020-01-22;00000011291;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1938.6;1777.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
11;921922;1;2020-01-22;00000011292;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 27772-2015;0.0;351.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
