Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;Возможный заказ;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
9559;02872;1;2020-05-31;00000012037;Уголок 125х125х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;30.222;0.0;30.222;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Нижняя секция   Н=8,5м опоры 1П110-6ау
Проект: 19-65-03-302-КС";02872-1;1.0;0.0;0.0;0.0;0.0;0.0;30.222
9545;02871;1;2020-05-31;00000000796;Лист 12 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;151.264;0.0;151.264;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Подставка   Н=10м опоры 1У110-4у+10
Проект: 19-65-03-302-КС";02871-1;1.0;0.0;0.0;0.0;0.0;0.0;151.264
9544;02871;1;2020-05-31;00000015205;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;120.188;0.0;120.188;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Подставка   Н=10м опоры 1У110-4у+10
Проект: 19-65-03-302-КС";02871-1;1.0;0.0;0.0;0.0;0.0;0.0;120.188
9543;02871;1;2020-05-31;00000015180;Лист 30 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;244.156;0.0;244.156;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Подставка   Н=10м опоры 1У110-4у+10
Проект: 19-65-03-302-КС";02871-1;1.0;0.0;0.0;0.0;0.0;0.0;244.156
9566;02873;1;2020-05-31;00000015205;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;264.595;0.0;264.595;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Анкерно-угловая опора   1У110-4ау+10
Проект: 19-65-03-302-КС";02873-1;1.0;0.0;0.0;0.0;0.0;0.0;264.595
9583;02874;1;2020-05-31;00000011275;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1687.793;0.0;1687.793;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;0.0;1687.793
9584;02874;1;2020-05-31;00000011278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;295.091;0.0;295.091;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;295.091;0.0
9546;02871;1;2020-05-31;00000011275;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;165.861;0.0;165.861;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Подставка   Н=10м опоры 1У110-4у+10
Проект: 19-65-03-302-КС";02871-1;1.0;0.0;0.0;0.0;0.0;0.0;165.861
9585;02874;1;2020-05-31;00000011281;Уголок 100х100х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;119.172;0.0;119.172;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;119.172;0.0
9587;02874;1;2020-05-31;00000011291;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;612.902;0.0;612.902;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;0.0;612.902
