Дата запуска;0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;32.0;34.0;36.0;37.0;38.0;39.0;40.0
Дата запуска;2020-02-20 00:00:00;2020-02-21 00:00:00;2020-02-22 00:00:00;2020-02-23 00:00:00;2020-02-24 00:00:00;2020-02-25 00:00:00;2020-02-26 00:00:00;2020-02-27 00:00:00;2020-02-28 00:00:00;2020-02-29 00:00:00;2020-03-01 00:00:00;2020-03-02 00:00:00;2020-03-03 00:00:00;2020-03-04 00:00:00;2020-03-05 00:00:00;2020-03-06 00:00:00;2020-03-07 00:00:00;2020-03-08 00:00:00;2020-03-09 00:00:00;2020-03-10 00:00:00;2020-03-11 00:00:00;2020-03-12 00:00:00;2020-03-14 00:00:00;2020-03-15 00:00:00;2020-03-16 00:00:00;2020-03-17 00:00:00;2020-03-18 00:00:00;2020-03-19 00:00:00;2020-03-20 00:00:00;2020-03-23 00:00:00;2020-03-25 00:00:00;2020-03-27 00:00:00;2020-03-28 00:00:00;2020-03-29 00:00:00;2020-03-30 00:00:00;2020-03-31 00:00:00
Номенклатура;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2407.772999999991;0.0;0.0;2246.5119999999997;2656.375;52.104;6107.998;146.858;889.608;135.694;1144.503;805.391;0.0;296.723;296.723;0.0;143.481;96.565
Лист 10 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5608.296;3438.537;0.0;0.0;0.0;3196.89;0.0;0.0
Лист 10 ГОСТ 19903-74 С345-4 ГОСТ 27772-2015;0.0;0.0;0.0;0.0;0.0;384.706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 10 ГОСТ 19903-74 ст3 ГОСТ 380-2005;1.661;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 12 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;138.206;0.0;0.0;0.0;0.0;0.0;20.648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4692.728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;117.522
Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;432.728;0.0;0.0;27.414;0.0;66.338;2388.662;2396.56;2396.56;2468.227;2620.874;479.312;0.0;1917.248;0.0;0.0;0.0;111.22799999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 12 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.561;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;327.701;0.0;0.0;0.0;0.0;0.0;0.0
Лист 12 ГОСТ 19903-74 С345-3 ГОСТ 27772-2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;231.012;0.0;0.0;0.0;231.012;162.564;0.0;59.891999999999996;59.891999999999996;0.0;0.0;0.0
Лист 12 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;0.0;0.0;5677.679;0.0;2806.602;0.0;958.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115.19900000000013;4821.45;8086.939999999999;0.0;292.617;0.0;0.0;0.0;393.078;2055.702;0.0;0.0;747.528;934.41;37.684;2395.3509999999997;25.892;2297.683;0.0;349.542;245.974;0.0;90.709;90.767;0.0;0.0;1321.095
