Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит;Остаток дефицита;Списание из Цент склада;Списание из ТН;Списание из Поступлений;ТН
2020-05-13;02735-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;1073.51;0.0;1073.51;0.0;0.0;0.0
2020-05-13;02735-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 63х63х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;38.91;0.0;38.91;0.0;0.0;0.0
2020-05-13;02735-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;356.73;356.73;0.0;0.0;0.0;0.0
2020-05-13;02735-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;311.58;311.58;0.0;0.0;0.0;0.0
2020-05-13;02720-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;51.888;51.888;0.0;0.0;0.0;0.0
2020-05-13;02706-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;1.802;0.0;1.802;0.0;0.0;0.0
2020-05-13;02706-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;5.665;5.665;0.0;0.0;0.0;0.0
2020-05-13;02706-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;6.486;6.486;0.0;0.0;0.0;0.0
2020-05-13;02706-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 63х63х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;3.891;0.0;3.891;0.0;0.0;0.0
2020-05-13;02706-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;27.233;0.0;27.233;0.0;0.0;0.0
