Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит
2020-06-09;0252-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 530х9 ГОСТ 10704-91 С345-1 ГОСТ 27772-2015;372.61
2020-06-09;0256-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 530х9 ГОСТ 10704-91 С345-1 ГОСТ 27772-2015;149.044
2020-06-09;0270-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №43 от 17.01.2020;Труба 530х9 ГОСТ 10704-91 С345-1 ГОСТ 27772-2015;141.338
2020-06-10;0254-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 530х9 ГОСТ 10704-91 С345-1 ГОСТ 27772-2015;298.088
2020-06-10;0255-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 530х9 ГОСТ 10704-91 С345-1 ГОСТ 27772-2015;74.522
2020-06-10;0267-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №43 от 17.01.2020;Труба 530х9 ГОСТ 10704-91 С345-1 ГОСТ 27772-2015;275.48
2020-06-10;0269-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №43 от 17.01.2020;Труба 530х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;137.74
2020-06-10;0245-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 219х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;261.016
2020-06-10;0246-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 530х9 ГОСТ 10704-91 С345-1 ГОСТ 27772-2015;149.044
2020-06-11;0253-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 219х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;261.016
2020-06-14;02764-1;ТД ПОЛИМЕТАЛЛ ООО;фундаменты;Труба 720х10 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-2014;19173.33
2020-06-16;02764-2;ТД ПОЛИМЕТАЛЛ ООО;фундаменты;Труба 720х10 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-2014;19173.33
2020-06-18;02765-1;ТД ПОЛИМЕТАЛЛ ООО;фундаменты;Труба 720х10 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-2014;16255.005
2020-06-20;02765-2;ТД ПОЛИМЕТАЛЛ ООО;фундаменты;Труба 720х10 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-2014;16255.005
2020-06-22;02766-1;ТД ПОЛИМЕТАЛЛ ООО;фундаменты;Труба 720х10 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-2014;12447.554
