Артикул	Номенклатура	Ед. изм.	Количество
11823	Лист 6 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	7 462,764
13210	Лист 6 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015	кг	2 543,400
300	Лист 6 ГОСТ 19903-74 ст3сп ГОСТ 380-2005	кг	11 869,200
11829	Лист 8 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	847,800
719	Лист ПВ 406 ТУ 36.26.11-5-89 ст3сп ГОСТ 380-2005	кг	517,001
742	Лист ПВ 506 ТУ 36.26.11-5-89 ст3сп ГОСТ 380-2005	кг	1 418,764
743	Лист ПВ 508 ТУ 36.26.11-5-89 ст3сп ГОСТ 380-2005	кг	
744	Лист ПВ 510 ТУ 36.26.11-5-89 ст3сп ГОСТ 380-2005	кг	3 091,452
2153	Лист ромб 4 ГОСТ 8568-77 ст3сп ГОСТ 380-2005	кг	1 736,640
2147	Лист чечевица 4 ГОСТ 8568-77 ст3сп ГОСТ 380-2005	кг	7 534,800
12069	Труба 1020х12 ГОСТ 10706-76 17Г1С ГОСТ 19281-2014	кг	3 281,410
3151	Труба 102х5 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	10 582,208
13484	Труба 102х8 ГОСТ 8732-78 09Г2С-1 ГОСТ 19281-89	кг	270,830
4270	Труба 114х5 ГОСТ 8732-78 09Г2С-1 ГОСТ 19281-89	кг	354,816
542	Труба 121х10 ГОСТ 8732-78 20 ГОСТ 1050-88	кг	162,852
9620	Труба 127х10 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	1 119,380
9621	Труба 127х4 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	446,384
18439	Труба 133х5 ГОСТ 8732-78 20 ГОСТ 8731-74	кг	146,754
17623	Труба 133х5 ГОСТ 8732-78 С345-6 ГОСТ 27772-2015	кг	142,020
519	Труба 133х6 ГОСТ 8732-78 20 ГОСТ 1050-88	кг	482,151
9618	Труба 140х10 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	782,264
9646	Труба 140х8 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	2 499,840
14230	Труба 146х8 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014	кг	1 907,189
13226	Труба 152х6 ГОСТ 8732-78 С345-3 ГОСТ 27772-88	кг	409,320
4291	Труба 159х6 ГОСТ 8732-78 09Г2С-1 ГОСТ 19281-89	кг	5 433,600
14874	Труба 168х8 ГОСТ 10705-80 09Г2С-14 ГОСТ 19281-2014	кг	612,458
9682	Труба 20х2 ГОСТ 8639-82 ст3 ГОСТ 380-2005	кг	32,250
1518	Труба 20х2,8 ГОСТ 3262-78 ст3сп ГОСТ 380-2005	кг	209,160
12060	Труба 219х10 ГОСТ 8732-78 09Г2С-15 ГОСТ 19281-2014	кг	6 620,830
3194	Труба 219х12 ГОСТ 8732-78 С345-1 ГОСТ 27772-88	кг	3 418,308
8602	Труба 219х6 ГОСТ 10705-80 09Г2С-14 ГОСТ 19281-2014	кг	6 269,328
15190	Труба 219х8 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-2014	кг	
11835	Труба 219х8 ГОСТ 8732-78 09Г2С-15 ГОСТ 19281-2014	кг	8 346,815
10891	Труба 245х10 ГОСТ 8732-78 09Г2С-1 ГОСТ 19281-89	кг	1 477,725
3178	Труба 25х3,2 ГОСТ 3262-78 ст3сп ГОСТ 380-2005	кг	186,420
